peak_label	chr	start_coord	end_coord	length_peak	abs_summit_coord	pileup_height	neg_log10_pvalue	gene_3UTR	UTR_start	UTR_end	UTR_strand
sample_1_wt_rep1_peak_21	1	160431	160538	108	160489	49	16.39377	NCU08067	160387	161116	+
sample_1_wt_rep1_peak_22	1	160952	161093	142	161024	383	425.56894	NCU08067	160387	161116	+
sample_1_wt_rep1_peak_23	1	169900	170009	110	169952	242	223.35155	NCU08070	169835	171262	-
sample_1_wt_rep1_peak_24	1	170316	170401	86	170358	276	269.47125	NCU08070	169835	171262	-
sample_1_wt_rep1_peak_25	1	174285	174362	78	174322	69	30.84044	NCU08071	174121	174938	+
sample_1_wt_rep1_peak_26	1	174756	174885	130	174791	39	10.38245	NCU08071	174121	174938	+
sample_1_wt_rep1_peak_36a	1	305329	305562	234	305375	336	355.15701	NCU08110	305342	305702	-
sample_1_wt_rep1_peak_36b	1	305329	305562	234	305510	59	23.25958	NCU08110	305342	305702	-
sample_1_wt_rep1_peak_44a	1	343131	343730	600	343168	63	26.21243	NCU08119	343085	343487	+
sample_1_wt_rep1_peak_44b	1	343131	343730	600	343261	109	66.62736	NCU08119	343085	343487	+
sample_1_wt_rep1_peak_44c	1	343131	343730	600	343341	124	81.82041	NCU08119	343085	343487	+
sample_1_wt_rep1_peak_47	1	357510	357585	76	357563	62	25.46392	NCU07509	357543	357891	+
sample_1_wt_rep1_peak_48	1	357808	357883	76	357845	101	58.87839	NCU07509	357543	357891	+
sample_1_wt_rep1_peak_54a	1	386982	387386	405	387052	125	82.86201	NCU07503	386939	387494	-
sample_1_wt_rep1_peak_54b	1	386982	387386	405	387147	129	87.06241	NCU07503	386939	387494	-
sample_1_wt_rep1_peak_54c	1	386982	387386	405	387255	388	433.2121	NCU07503	386939	387494	-
sample_1_wt_rep1_peak_54d	1	386982	387386	405	387347	102	59.83264	NCU07503	386939	387494	-
sample_1_wt_rep1_peak_73a	1	533192	533415	224	533221	32	6.78864	NCU07468	532756	533414	+
sample_1_wt_rep1_peak_73b	1	533192	533415	224	533357	233	211.47739	NCU07468	532756	533414	+
sample_1_wt_rep1_peak_78	1	555109	555183	75	555165	40	10.93999	NCU07460	554965	555385	+
sample_1_wt_rep1_peak_79	1	555304	555378	75	555340	58	22.53888	NCU07460	554965	555385	+
sample_1_wt_rep1_peak_90a	1	614800	615131	332	614834	62	25.46392	NCU07443	614450	615081	+
sample_1_wt_rep1_peak_90b	1	614800	615131	332	615025	458	542.99304	NCU07443	614450	615081	+
sample_1_wt_rep1_peak_101a	1	654983	655174	192	655026	154	114.46075	NCU07430	654409	655451	+
sample_1_wt_rep1_peak_101b	1	654983	655174	192	655128	188	154.48389	NCU07430	654409	655451	+
sample_1_wt_rep1_peak_102	1	655365	655462	98	655419	456	539.78857	NCU07430	654409	655451	+
sample_1_wt_rep1_peak_117	1	774194	774281	88	774237	182	147.21368	NCU09079	774193	775359	-
sample_1_wt_rep1_peak_118	1	774782	774865	84	774826	818	1169.70422	NCU09079	774193	775359	-
sample_1_wt_rep1_peak_121a	1	819350	819569	220	819391	391	54.50719	NCU09088	819221	819586	-
sample_1_wt_rep1_peak_121b	1	819350	819569	220	819533	286	19.63873	NCU09088	819221	819586	-
sample_1_wt_rep1_peak_122a	1	822725	822979	255	822781	19098	31506.01953	NCU09089	822401	823194	+
sample_1_wt_rep1_peak_122b	1	822725	822979	255	822938	639	180.11034	NCU09089	822401	823194	+
sample_1_wt_rep1_peak_128a	1	858174	858443	270	858234	294	294.63531	NCU09101	858079	858451	+
sample_1_wt_rep1_peak_128b	1	858174	858443	270	858405	44	13.27048	NCU09101	858079	858451	+
sample_1_wt_rep1_peak_131	1	863464	863538	75	863500	37	9.29913	NCU09104	863464	864345	-
sample_1_wt_rep1_peak_132	1	863922	864003	82	863965	122	79.74761	NCU09104	863464	864345	-
sample_1_wt_rep1_peak_133a	1	928665	928890	226	928706	710	972.6604	NCU02187	928570	929260	-
sample_1_wt_rep1_peak_133b	1	928665	928890	226	928868	54	19.72971	NCU02187	928570	929260	-
sample_1_wt_rep1_peak_134	1	929205	929281	77	929242	135	93.46222	NCU02187	928570	929260	-
sample_1_wt_rep1_peak_135	1	943183	943297	115	943249	574	734.84589	NCU02184	943070	943577	+
sample_1_wt_rep1_peak_136a	1	943407	943572	166	943444	77	37.35146	NCU02184	943070	943577	+
sample_1_wt_rep1_peak_136b	1	943407	943572	166	943540	30	5.86997	NCU02184	943070	943577	+
sample_1_wt_rep1_peak_175a	1	1127160	1127445	286	1127265	1338	1595.10681	NCU02136	1126296	1127421	-
sample_1_wt_rep1_peak_175b	1	1127160	1127445	286	1127392	1753	2290.20532	NCU02136	1126296	1127421	-
sample_1_wt_rep1_peak_200	1	1236621	1236739	119	1236682	652	674.86487	NCU02114	1235389	1237074	+
sample_1_wt_rep1_peak_201	1	1236983	1237063	81	1237024	161	77.91579	NCU02114	1235389	1237074	+
sample_1_wt_rep1_peak_204a	1	1246767	1247010	244	1246809	301	304.55154	NCU02111	1246770	1247097	-
sample_1_wt_rep1_peak_204b	1	1246767	1247010	244	1246952	340	361.0441	NCU02111	1246770	1247097	-
sample_1_wt_rep1_peak_211a	1	1277053	1277291	239	1277086	60	23.98739	NCU02103	1276891	1277586	+
sample_1_wt_rep1_peak_211b	1	1277053	1277291	239	1277247	394	442.42062	NCU02103	1276891	1277586	+
